access control;pääsynvalvonta
access control list;pääsyoikeuslista
access matrix;pääsymatriisi
addressin mode;tiedonosoitusmoodi
adware;mainostaja
affinity;kiintymys, affiniteetti
application binary interface, ABI;sovellusten binäärikäyttöliittymä
application programming interface, API;sovellusohjelmoinnin käyttöliittymä
associative mapping;assosiatiivinen kuvaus
atomic;atominen, jakamaton
auditing function;auditointijärjestelmä
authenticity;oikeellisuus
autorooter;etäkäyttöohjelma
availability;saatavuus (tietoturva)
backdoor;takaovi, salaovi (tietoturva)
barrier;puomi
basic file system, physical I/O system;fyysinen tiedostojärjestelmä
batch multiprogramming;eräajo
baton passing;viestikapulan välitys tai antaminen
binding;sidonta
block size;lohkon koko, (välimuistin) rivin koko
bot;piilo-ohjelma, botti (sanasta robotti)
broker;välittäjä, meklari
buddy;vieruskaveri, kaveri
busy wait, spinlock;loopissa odotus (aktiivisena)
B-tree;B-puu, balansoitu puu
capability, capability ticket;valtakirja, pääsylippu
cache;välimuisti
chained allocation;ketjutetut (levylohkot)
channel;kanava
circular wait;kehäodotus
clandestine user;salainen käyttäjä
client-server;asiakas-palvelin
cluster;klusteri
condition variable;ehtomuuttuja
confidentiality;luottamuksellisuus (tietoturva)
contiquous file allocation;yhtenäisten levylohkojen alue
compaction;tiivistys
consolidation;tiivistys, yhdistely
critical section;kriittinen alue, kriittinenvaihe
daemon process;daemon prosessi
data availability;tiedon saatavuus
data integrity;tiedon muuttumattomuus
data trespass;tietomurto
deadlock;lukkiutuminen, lukkiutuma
deadlock avoidance;lukkiutumisen välttäminen (dynaamisesti)
deadlock detection and breaking;lukkiutumisen havaitseminen ja murtaminen
deadlock prevention;lukkiutumisen estäminen (ennakolta)
deception;petollisuus
dedicated;omassa käytössä, dedikoitu
demand paging;tarvesivutus
determinism;deterministisyys, ennustettavuus
direct mapping;suora kuvaus
direct memory access, dma;dma I/O
disk buffer (in device controller);levypuskuri (laiteohjaimella)
disk cache (in main memory);levyvälimuisti (keskusmuistissa)
dispatcher, scheduler;vuoronantaja, skeduloija
disruption;häirintä (tietoturva)
distributed operating system (OS);hajautettu käyttöjärjestelmä (KJ)
downloader;asennuspaketti (tietoturva)
efficiency;tehokkuus
embedded system;sulautettu järjestelmä
enterprise system;yritysjärjestelmä
event flag;tapahtumalipuke
execution mode;suoritustila
execution mode switching;suoritustilan vaihtaminen
exception;poikkeus
exploit;haavoittuvuutta hyödyntävä koodi (tietoturva)
exposure;altistus
external fragmentation;ulkoinen pirstoutuminen (varatun alueen ulkop.)
fair, fairness;reilu, reiluus
fault, interrupt;poikkeus, keskeytys
fault tolerant;vikasietoinen
fetch-execute cycle;(käskyjen) nouto- ja suoritussykli
fetch policy;noutopolitiikka
field;kenttä
file cache;tiedostovälimuisti
file system;tiedostojärjestelmä
firewall;palomuuri
flooder;tietoliikennetulvan aiheuttaja
fragmentation;pirstoutuminen
frame;kehys, sivukehys
frame locking;kehyksen (sisällön) lukitseminen
gang scheduling;joukkoskedulointi, ryhmäskedulointi
group associative mapping;joukkoassosiatiivinen kuvaus
hard link;suora linkki
hashed;hajautettu, hajasaanti
high level language, HLL;korkean tason kieli
indexed sequential (file system organ.);indeksoitu sarjallinen
interception;salakuuntelu
inference;päättely
